category,label,term_id,term_en,term_de,register,field,exp_field,source,tag_id
term,internal focalization,term_0001,internal focalization,Subjektivierung / interne Fokalisierung,Key Words,Narratology,exp_Narratology,"Genette, Gérard (1972): Figures III. Paris: Editions du Seuil. Genette, Gérard (1983): Nouveau discours du récit. Paris: Editions du Seuil.",tag_0001
term,Subjektivierung,term_0001,internal focalization,Subjektivierung / interne Fokalisierung,Key Words,Narratology,exp_Narratology,"Genette, Gérard (1972): Figures III. Paris: Editions du Seuil. Genette, Gérard (1983): Nouveau discours du récit. Paris: Editions du Seuil.",tag_0002
term,interne Fokalisierung,term_0001,internal focalization,Subjektivierung / interne Fokalisierung,Key Words,Narratology,exp_Narratology,"Genette, Gérard (1972): Figures III. Paris: Editions du Seuil. Genette, Gérard (1983): Nouveau discours du récit. Paris: Editions du Seuil.",tag_0003
field,Narratology,,,,,Narratology,exp_Narratology,,tag_0004
register,Key Words,,,,Key Words,,,,tag_0005
term,dream,term_0002,dream,Traum,,,exp_Narratology,,tag_0006
term,Traum,term_0002,dream,Traum,,,exp_Narratology,,tag_0007
term,hallucination,term_0003,hallucination,Halluzination,,,exp_Narratology,,tag_0008
term,Halluzination,term_0003,hallucination,Halluzination,,,exp_Narratology,,tag_0009
term,memory,term_0004,memory,Erinnerung,,,exp_Narratology,,tag_0010
term,Erinnerung,term_0004,memory,Erinnerung,,,exp_Narratology,,tag_0011
term,internal ocularization (POV),term_0005,internal ocularization (POV),interne Okularisation (subjetive Einstellung),,,exp_Narratology,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0012
term,interne Okularisation (subjetive Einstellung),term_0005,internal ocularization (POV),interne Okularisation (subjetive Einstellung),,,exp_Narratology,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0013
term,mind’s eye,term_0006,mind’s eye,geistiges Auge,,,exp_Narratology,"Flückiger, Barbara (2008): Visual Effects. Filmbilder aus dem Computer. Marburg: Schüren, pp. 379–394.",tag_0014
term,geistiges Auge,term_0006,mind’s eye,geistiges Auge,,,exp_Narratology,"Flückiger, Barbara (2008): Visual Effects. Filmbilder aus dem Computer. Marburg: Schüren, pp. 379–394.",tag_0015
term,spectatorial focalization,term_0007,spectatorial focalization,Zuschauerfokalisierung,,,exp_Narratology,"Gaudreault, André; Jost, François (1990): Le Récit cinématographique. Paris: Nathan.",tag_0016
term,Zuschauerfokalisierung,term_0007,spectatorial focalization,Zuschauerfokalisierung,,,exp_Narratology,"Gaudreault, André; Jost, François (1990): Le Récit cinématographique. Paris: Nathan.",tag_0017
term,alignment,term_0008,alignment,Alignment,,,exp_Narratology,"Smith, Murray (1995): Engaging Characters. Fiction, Emotion, and the Cinema. Oxford: Clarendon Press.",tag_0018
term,allegiance,term_0009,allegiance,Allegiance,,,exp_Narratology,"Smith, Murray (1995): Engaging Characters. Fiction, Emotion, and the Cinema. Oxford, New York: Oxford University Press.",tag_0019
term,summary,term_0010,summary,Summary,,,exp_Narratology,,tag_0020
term,montage sequence,term_0011,montage sequence,Montagesequenz,,,exp_Narratology,"Arbeit von Andreas Maurer Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0021
term,Montagesequenz,term_0011,montage sequence,Montagesequenz,,,exp_Narratology,"Arbeit von Andreas Maurer Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0022
term,flashback,term_0012,flashback,Rückblende,,,exp_Narratology,"Genette, Gérard (1972): Figures III. Paris: Editions du Seuil. Genette, Gérard (1983): Nouveau discours du récit. Paris: Editions du Seuil. Bordwell, David (1985): Narration in the Fiction Film. London: Routledge. Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0023
term,Rückblende,term_0012,flashback,Rückblende,,,exp_Narratology,"Genette, Gérard (1972): Figures III. Paris: Editions du Seuil. Genette, Gérard (1983): Nouveau discours du récit. Paris: Editions du Seuil. Bordwell, David (1985): Narration in the Fiction Film. London: Routledge. Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0024
term,flashforward,term_0013,flashforward,Flashforward,,,exp_Narratology,"Genette, Gérard (1972): Figures III. Paris: Editions du Seuil. Genette, Gérard (1983): Nouveau discours du récit. Paris: Editions du Seuil. Bordwell, David (1985): Narration in the Fiction Film. London: Routledge.",tag_0025
term,ellipsis,term_0014,ellipsis,Ellipse,,,exp_Narratology,"Genette, Gérard (1972): Figures III. Paris: Editions du Seuil. Genette, Gérard (1983): Nouveau discours du récit. Paris: Editions du Seuil. Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0026
